# Jingwei AI Keyboard merged lexicon
# Format: pinyin<TAB>candidate1|candidate2...<TAB>weight1|weight2...
# Base chat phrases + Rime pinyin-simp, frequency preserved
# Upstream: https://github.com/rime/rime-pinyin-simp
ga	伽|咖|嘎|噶|夹|尕|尜|尬|旮|轧|钆	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000
gai	丐|乢|垓|改|概|溉|盖|祴|芥|蓋|該|该|赅|鈣|钙|陔|戤|瓂|荄|葢|峐|槪|漑|豥	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|2|2|2|2|1|1|1|1
gan	乾|咁|干|感|擀|敢|杆|柑|淦|甘|秆|竿|肝|苷|赣|赶|幹|绀|橄|酐|矸|疳|趕|尴	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|73|48|26|22|21|15|15|13
gang	冈|刚|剛|岗|岡|崗|戆|扛|杠|港|纲|缸|罡|肛|鋼|钢|綱|槓|釭|棡|堽|筻|堈|犅	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|6|5|5|3|2|2|1|1
gao	告|搞|杲|皋|睾|稿|篙|糕|缟|羔|膏|诰|郜|锆|镐|高|槁|藁|睪|髙|檺|槔|槹|櫜	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|17|17|15|11|5|4|3|3
ge	个|個|割|各|咯|哥|戈|搁|格|歌|葛|铬|阁|隔|革|鸽|镉|舸|嗝|膈|戓|硌|疙|圪	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|127|78|77|66|63|55|46|34
gei	給|给	500000|500000
gen	亘|哏|揯|根|艮|茛|跟	500000|500000|500000|500000|500000|500000|500000
geng	亙|哽|埂|庚|更|梗|浭|畊|綆|绠|羹|耕|耿|赓|颈|鲠|挭|堩|峺|緪|菮|賡|郠|骾	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|2|1|1|1|1|1|1|1
gong	供|公|共|功|宫|宮|工|巩|弓|恭|拱|攻|汞|贡|躬|龚|肱|觥|珙|幊|栱|蚣|貢|塨	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|42|20|16|5|5|5|5|4
gou	勾|垢|够|夠|媾|彀|构|枸|沟|狗|篝|苟|觏|诟|购|钩|岣|缑|遘|姤|溝|鉤|佝|笱	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|12|11|10|8|8|8|7|6
gu	估|古|固|姑|孤|故|沽|箍|股|菇|蛊|谷|雇|顾|骨|鼓|辜|钴|呱|咕|瞽|毂|崮|牯	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|168|123|99|92|54|39|28|22
gua	刮|剐|剮|劀|卦|呱|寡|挂|掛|栝|瓜|罣|胍|褂|诖|鸹|緺|苽|騧|括|詿|颪|颳|鴰	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|2|2|2|1|1|1|1|1
guai	乖|夬|怪|恠|拐|掴|枴|柺|罫	500000|500000|500000|500000|500000|500000|500000|500000|500000
guan	倌|关|冠|官|惯|棺|灌|祼|管|罐|莞|觀|观|贯|關|馆|掼|館|琯|鹳|瓘|纶|鳏|鏆	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|26|23|20|20|16|14|12|11
guang	侊|俇|光|咣|垙|广|広|廣|撗|桄|洸|犷|珖|胱|茪|逛|欟|炚|烡|銧	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|1|1|1|1
gui	圭|归|柜|桂|珪|瑰|癸|硅|规|诡|贵|跪|轨|闺|鬼|龟|妫|櫃|貴|佹|桧|歸|鲑|刿	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|41|40|40|31|31|28|24|22
gun	丨|惃|棍|棞|滚|滾|璭|磙|绲|蔉|衮|袞|輥|辊|鯀|鲧	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000
guo	呙|囗|国|國|帼|掴|果|椁|虢|蝈|裹|过|過|郭|鍋|锅|粿|聒|聝|涡|埚|淉|幗|菓	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|15|14|13|9|8|8|7|7
ha	哈|虾|蛤|铪	500000|500000|500000|500000
hai	亥|侅|咳|嗐|嗨|嘿|孩|害|氦|海|还|還|醢|駭|骇|骸|胲|烸|絯|塰|餀|駴	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|4|3|3|2|1|1
han	函|含|喊|寒|很|悍|憨|撼|旱|汉|汗|涵|瀚|焊|罕|翰|韩|憾|晗|酣|菡|捍|琀|邯|漢	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|137|123|111|94|82|63|34|27
hang	吭|垳|夯|巷|斻|杭|沆|笐|绗|航|苀|蚢|行|貥|迒|颃|絎|頏|魧	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|1|1|1
hao	号|嚎|壕|好|昊|毫|浩|濠|灏|皓|耗|蒿|號|蚝|豪|郝|颢|镐|嗥|薅|貉|嚆|鎬|滈	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|59|31|26|21|18|12|12|11
he	何|合|呵|和|喝|壑|核|河|盒|禾|荷|褐|诃|贺|赫|鹤|颌|阖|涸|爀|嗬|菏|阂|犵	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|81|53|37|36|30|28|28|27
hei	嗨|嘿|潶|黑|黒	500000|500000|500000|500000|500000
hen	很|恨|拫|狠|痕|鞎	500000|500000|500000|500000|500000|500000
heng	亨|佷|哼|啈|姮|恆|恒|桁|横|橫|烆|珩|脝|蘅|衡|鑅|胻|鵆	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|1|1
hong	吽|哄|宏|弘|泓|洪|烘|紅|紘|红|荭|薨|虹|轰|闳|鸿|苰|竑|訇|鍧|鴻|仜|黉|垬	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|12|11|11|10|10|7|7|6
hou	侯|候|厚|后|吼|喉|垕|堠|後|洉|猴|瘊|篌|逅|骺|鲎|糇|齁|詬|帿|腄|葔|郈|鍭	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|4|4|3|2|2|2|2|2
hu	乎|互|呼|唬|壶|寣|弧|忽|户|护|沪|湖|狐|糊|胡|虎|弖|扈|斛|鍙|祜|琥|许|浒	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|119|89|56|53|46|44|36|32
hua	划|化|华|哗|嬅|桦|樺|滑|画|畫|花|華|話|话|铧|骅|猾|畵|錵|劃|埖|椛|槬|糀	500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|500000|19|8|8|6|6|4|4|4
